model,accuracy,precision,recall,f1,roc_auc,pr_auc,composite_score
xgboost,0.7932621513944224,0.1412471464616124,0.4088235294117647,0.20890267333937623,0.6846907993966818,0.17257035172496904,0.2779713192840095
hist_gradient_boosting,0.8188270916334661,0.12601976976976975,0.2875,0.1735502148583544,0.694818376068376,0.17107937156867245,0.21838887592810802
random_forest,0.7789131474103584,0.09977305339109263,0.28823529411764703,0.14736580500645835,0.6674773755656108,0.13267544052281366,0.19930649130584044
