threshold,precision,recall,f1,accuracy
0.05,0.12878787878787878,0.8095238095238095,0.2222222222222222,0.6210191082802548
0.06,0.136,0.8095238095238095,0.2328767123287671,0.643312101910828
0.07,0.12931034482758622,0.7142857142857143,0.21897810218978103,0.6592356687898089
0.08,0.11711711711711711,0.6190476190476191,0.19696969696969696,0.6624203821656051
0.09,0.12149532710280374,0.6190476190476191,0.203125,0.6751592356687898
0.09999999999999999,0.11538461538461539,0.5714285714285714,0.192,0.678343949044586
0.10999999999999999,0.11538461538461539,0.5714285714285714,0.192,0.678343949044586
0.12,0.12121212121212122,0.5714285714285714,0.2,0.6942675159235668
0.13,0.12371134020618557,0.5714285714285714,0.2033898305084746,0.7006369426751592
0.13999999999999999,0.12631578947368421,0.5714285714285714,0.20689655172413793,0.7070063694267515
0.14999999999999997,0.12222222222222222,0.5238095238095238,0.1981981981981982,0.7165605095541401
0.15999999999999998,0.12941176470588237,0.5238095238095238,0.20754716981132076,0.732484076433121
0.16999999999999998,0.13414634146341464,0.5238095238095238,0.21359223300970873,0.7420382165605095
0.18,0.13414634146341464,0.5238095238095238,0.21359223300970873,0.7420382165605095
0.19,0.125,0.47619047619047616,0.19801980198019803,0.7420382165605095
0.19999999999999996,0.1282051282051282,0.47619047619047616,0.20202020202020202,0.7484076433121019
0.20999999999999996,0.13157894736842105,0.47619047619047616,0.20618556701030927,0.7547770700636943
0.21999999999999997,0.13157894736842105,0.47619047619047616,0.20618556701030927,0.7547770700636943
0.22999999999999998,0.13513513513513514,0.47619047619047616,0.21052631578947367,0.7611464968152867
0.24,0.136986301369863,0.47619047619047616,0.2127659574468085,0.7643312101910829
0.24999999999999994,0.1388888888888889,0.47619047619047616,0.21505376344086022,0.767515923566879
0.25999999999999995,0.1388888888888889,0.47619047619047616,0.21505376344086022,0.767515923566879
0.26999999999999996,0.1388888888888889,0.47619047619047616,0.21505376344086022,0.767515923566879
0.27999999999999997,0.14084507042253522,0.47619047619047616,0.21739130434782608,0.7707006369426752
0.29,0.14084507042253522,0.47619047619047616,0.21739130434782608,0.7707006369426752
0.3,0.14285714285714285,0.47619047619047616,0.21978021978021978,0.7738853503184714
0.30999999999999994,0.14492753623188406,0.47619047619047616,0.2222222222222222,0.7770700636942676
0.31999999999999995,0.14705882352941177,0.47619047619047616,0.2247191011235955,0.7802547770700637
0.32999999999999996,0.15384615384615385,0.47619047619047616,0.23255813953488372,0.7898089171974523
0.33999999999999997,0.15625,0.47619047619047616,0.23529411764705882,0.7929936305732485
0.3499999999999999,0.15625,0.47619047619047616,0.23529411764705882,0.7929936305732485
0.35999999999999993,0.15625,0.47619047619047616,0.23529411764705882,0.7929936305732485
