model,accuracy,precision,recall,f1,roc_auc,pr_auc
xgboost,0.7980653386454184,0.12289095420312073,0.325,0.17782267870780227,0.6898378582202112,0.1665617951012521
hist_gradient_boosting,0.8020589641434264,0.13023712064330176,0.3492647058823529,0.18864988558352402,0.6879242081447965,0.15415097752142665
random_forest,0.8116302788844623,0.11127659574468085,0.2536764705882353,0.15301795131582366,0.6773582830568126,0.13056096460251135
logistic_regression,0.5426486055776892,0.08687858828775263,0.6154411764705883,0.15196254591819966,0.5788430115635997,0.12388536730130222
decision_tree,0.7477705179282867,0.08643240152788705,0.28970588235294115,0.1324350978389313,0.5350238813474107,0.074263615454513
dummy_baseline,0.9337625498007969,0.0,0.0,0.0,0.5,0.06623745019920318
